author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
1921452834,2022-03-26 01:49:58+00:00, ,1507535299500556296,en,0,0,0,1092,Twitter for iPhone,"RT @rehvion: No wonder Rykard is Miyazaki's favourite Elden Ring character.
Togethaaaaa https://t.co/G4HxbxUMy7"
545594764,2022-03-26 01:49:56+00:00, ,1507535290499403777,en,0,0,0,1092,Twitter Web App,"RT @rehvion: No wonder Rykard is Miyazaki's favourite Elden Ring character.
Togethaaaaa https://t.co/G4HxbxUMy7"
author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
1246091895685685249,2022-03-26 01:46:15+00:00, ,1507534362031579137,en,0,0,0,0,SAM Broadcaster Song Info,Now Playing On Sound Machine Country Radio Pete Hunt - Down To My Last Hearbreak
1320615780552044544,2022-03-26 00:30:18+00:00, ,1507515249351557120,en,2,0,0,0,Twitter for iPhone,😔😔😔that shit is sad as fuck man. Im sorry and my condolences to the family. May you find some type of peace in the middle of this hearbreak😔😔😔 https://t.co/iUT28cg0H4
1314568889737543685,2022-03-25 18:19:17+00:00, ,1507421878884909064,en,0,0,0,0,Twitter Web App,"@ngughii @thatguydenna “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
1314568889737543685,2022-03-25 18:19:05+00:00, ,1507421829253812224,en,0,0,0,0,Twitter Web App,"@sirnewtonnn_1 @thatguydenna “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
1314568889737543685,2022-03-25 18:18:50+00:00, ,1507421768700542999,en,0,0,0,0,Twitter Web App,"@MrBIackOG “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
1314568889737543685,2022-03-25 18:18:30+00:00, ,1507421684944584704,en,0,0,0,0,Twitter Web App,"@JrAloo @thatguydenna “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
1314568889737543685,2022-03-25 18:18:17+00:00, ,1507421627193114626,en,0,0,0,0,Twitter Web App,"@cm_mwanthi @thatguydenna “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
1314568889737543685,2022-03-25 18:18:01+00:00, ,1507421562303098880,en,0,0,0,0,Twitter Web App,"@karigoh “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
1314568889737543685,2022-03-25 18:17:14+00:00, ,1507421365795700764,en,0,0,0,0,Twitter Web App,"@JrAloo @254evee_ “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
1314568889737543685,2022-03-25 18:17:02+00:00, ,1507421316298719237,en,0,0,0,0,Twitter Web App,"@Samantha_047 @SKELEH_THE_GOON “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
1314568889737543685,2022-03-25 18:16:53+00:00, ,1507421277195223058,en,0,0,0,0,Twitter Web App,"@Magwedhe @kip254_ “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
1314568889737543685,2022-03-25 18:16:34+00:00, ,1507421197386006549,en,0,0,0,0,Twitter Web App,"@sweety_ke @SKELEH_THE_GOON “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
1314568889737543685,2022-03-25 18:16:21+00:00, ,1507421140771295238,en,0,0,0,0,Twitter Web App,"@Elicryze___ @kip254_ “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
1314568889737543685,2022-03-25 18:16:11+00:00, ,1507421102057955328,en,0,0,0,0,Twitter Web App,"@am_Melu_ @21stonney “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
1314568889737543685,2022-03-25 18:15:57+00:00, ,1507421040347164688,en,0,0,0,0,Twitter Web App,"@LavendaNjeri @SKELEH_THE_GOON “Mnatu hearbreak saana ndio maana tunakua malele🔥🔥""See why campus ladies prefer being lesbians and dating older men than them💥
https://t.co/Zfcsyk1n2l"
author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
3258768828,2022-03-26 01:50:10+00:00, ,1507535347286097920,en,0,0,0,67,Twitter for Android,"RT @Asli_Jacqueline: Fierce &amp; Furious &amp; Full of fire! 
Meet the Super Soldier in 1 week only in cinemas near you 🔥 

#Attack - Part 1 relea…"
2411919048,2022-03-26 01:50:09+00:00, ,1507535343066640385,en,0,0,0,1253,Twitter for iPad,RT @JaniceDean: At the doctors today. I’ve overheard so many conversations about @NYCMayor outrageous vaccination exceptions for millionair…
1039402717595226112,2022-03-26 01:50:06+00:00, ,1507535330525827076,en,0,0,0,33664,Twitter for Android,"RT @DeepFriedToes_: Bro saved his buddy cause he got knocked out sky diving , this the most fast and furious shit I’ve ever seen https://t.…"
330816503,2022-03-26 01:50:02+00:00, ,1507535316889919488,en,0,0,0,33664,Twitter Web App,"RT @DeepFriedToes_: Bro saved his buddy cause he got knocked out sky diving , this the most fast and furious shit I’ve ever seen https://t.…"
1011362264153194496,2022-03-26 01:49:58+00:00, ,1507535299718569990,en,0,0,0,33664,Twitter for iPhone,"RT @DeepFriedToes_: Bro saved his buddy cause he got knocked out sky diving , this the most fast and furious shit I’ve ever seen https://t.…"
1587328602,2022-03-26 01:49:58+00:00, ,1507535296967061507,en,0,0,0,33664,Twitter for iPhone,"RT @DeepFriedToes_: Bro saved his buddy cause he got knocked out sky diving , this the most fast and furious shit I’ve ever seen https://t.…"
16767209,2022-03-26 01:49:56+00:00, ,1507535291606876161,en,6,1,3,0,Twitter for iPhone,The haters are furious
2540607781,2022-03-26 01:49:52+00:00, ,1507535274728996866,en,0,0,0,10,Twitter for Android,"RT @TheValuesVoter: And as bad as it is that they manipulate you to make you furious, frightened and ready for Civil War over things that e…"
1963257373,2022-03-26 01:49:48+00:00, ,1507535257486204931,en,0,0,0,33664,Twitter for iPhone,"RT @DeepFriedToes_: Bro saved his buddy cause he got knocked out sky diving , this the most fast and furious shit I’ve ever seen https://t.…"
1342815145009926148,2022-03-26 01:49:48+00:00, ,1507535257351823366,en,0,0,0,33664,Twitter for iPhone,"RT @DeepFriedToes_: Bro saved his buddy cause he got knocked out sky diving , this the most fast and furious shit I’ve ever seen https://t.…"
1143693174130348032,2022-03-26 01:49:47+00:00, ,1507535253845409792,en,0,0,0,5,Twitter for iPhone,RT @jburd22: Sometimes I'll think about how the entire plot for Furious 7 is about finding a device that can locate the villain Deckard Sha…
47969402,2022-03-26 01:49:46+00:00, ,1507535250225831937,en,0,0,0,33664,Twitter for iPhone,"RT @DeepFriedToes_: Bro saved his buddy cause he got knocked out sky diving , this the most fast and furious shit I’ve ever seen https://t.…"
1064306996650885122,2022-03-26 01:49:46+00:00, ,1507535247973527555,en,0,0,0,33664,Twitter for iPhone,"RT @DeepFriedToes_: Bro saved his buddy cause he got knocked out sky diving , this the most fast and furious shit I’ve ever seen https://t.…"
394500871,2022-03-26 01:49:46+00:00, ,1507535246668967936,en,0,0,0,33664,Twitter for iPhone,"RT @DeepFriedToes_: Bro saved his buddy cause he got knocked out sky diving , this the most fast and furious shit I’ve ever seen https://t.…"
4250409260,2022-03-26 01:49:45+00:00, ,1507535242898202625,en,0,0,0,33664,Twitter for Android,"RT @DeepFriedToes_: Bro saved his buddy cause he got knocked out sky diving , this the most fast and furious shit I’ve ever seen https://t.…"
author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
16767209,2022-03-26 01:49:56+00:00, ,1507535291606876161,en,6,1,3,0,Twitter for iPhone,The haters are furious
4157939543,2022-03-26 01:49:35+00:00, ,1507535200158457863,en,3,0,1,1,Twitter Web App,@BurrdDoh @fab4screamie @Shaken0Stirred @EverAre4 @kimmyifuplease @Jaxzon2008 @eddsmitty @zazzybritches @GangstaMimi @donnak831 @JerryCann1 @Tam_Resist @HondoResists @mama_hipster @SelfImposedXile @co_rapunzel4 @TappyPaws @WestonJK @Gems4Kimber @KierstenWarren @MLedaloo @Lissthesassy @LuciaRendn4 @RedloraineV @RedHairnBlkLthr @caliga3456 @dmwasleske @GhostOfLuv3 @MajorFactor2 @sugar1420 @NReveillee @Malibujammin @smh_lori @CirclesSpinning @NashvilleDeeDee @VABlueBelle18 @nancymhet @JDNEngland @kathryndennison @CarlyJA22 @CMikeSF @ivyjofreeman @SquadThen @Back_dafucup @Theon_Orbis @CanuckCognizant @showgirlcf @donnasfineart @ResistMike Agreed.  He ought to be hanged for that one.   I was and remain furious at that!
1409386848,2022-03-26 01:49:33+00:00, ,1507535192092659717,en,0,0,1,0,Twitter for iPhone,not my brother making me watch the fast and furious rn
2558615304,2022-03-26 01:49:22+00:00, ,1507535146857160710,en,1,0,0,0,Twitter for iPad,"@AvonandsomerRob Furious, I spent, 50p extra on easy jest. I did learn some humble lessons , the flight was very good."
753252252077453312,2022-03-26 01:49:08+00:00, ,1507535090485796865,en,2,0,0,0,Twitter Web App,"@GxnjyEU any Marvel movie, Harry Potter series, Maze Runner series, Hunger Game series, Divergent series, Fast and Furious series, Pirates of the Caribbean series, Kingsman 1-2, Deadpool 1-2, Borat 1-2,"
1501751697516859395,2022-03-26 01:48:41+00:00, ,1507534975121321984,en,0,0,1,0,Twitter Web App,"@rmrjersey @costareports I believe prosecutors are building cases.  I don't know that for sure, but that's usually the way it goes.  The committee knows the stakes &amp; I believe they're committed and furious, too.

My faith is in judges &amp; not us, even when the hearings start."
3317278692,2022-03-26 01:48:34+00:00, ,1507534945589379072,en,8,0,0,2,Twitter for iPhone,"Kansas wins! 

The tourney was on the verge of having no 1 seeds in the Elite 8 for the first time in the history of the 64 team field, but the Jayhawks held off a furious Friars rally to survive and advance. 

KU moves on to play Miami or Iowa St. for the trip to the Final 4."
1373547446027091968,2022-03-26 01:48:17+00:00, ,1507534876777619468,en,0,0,0,0,Twitter for Android,"Fear no more the heat o’ the sun;

Nor the furious winter’s rages,

Thou thy worldly task hast done,

Home art gone, and ta’en thy wages;

Golden lads and girls all must,

As chimney sweepers come to dust

12YRS OF ICONIC GASHMEER"
1496868006412300290,2022-03-26 01:48:16+00:00,70957ac3123b3249,1507534869827522560,en,1,0,0,0,Twitter for Android,@CollinsChadM Furious Alex😈👊
